,aligned
24,"\begin{aligned}
   \mathrm{d} s^2 &= {\mathrm e}^{2\Phi}(\mathrm{d}\tilde s^2)+(\mathrm{d} y+B)^2 , \\
   H_{mnp} &= -\tilde \epsilon_{mnp}{}^l\tilde{\nabla}_l
      {\mathrm e}^{2\Phi}-3B_{[m}G_{np]} , \\ 
   H_{ymn} &= -G_{mn} ,
\"
25,"\begin{aligned}
   \mathrm{d} s^2 &= {\mathrm e}^{\Phi}(\mathrm{d}\tilde s^2)+(\mathrm{d} y+B)^2 , \\
   H_{mnp} &= -\frac{1}{2}\tilde * \tilde \phi_{mnp}{}^q
      \tilde{\nabla}_q {\mathrm e}^{\Phi}-3B_{[m}G_{np]} , \\
   H_{ymn} &= -G_{mn}
\"
26,"\begin{aligned}
   J^\pm &= J \pm K^1\wedge K^2 , \\
   \Omega^\pm &= \Omega \wedge (K^1 \pm iK^2) .
\"
27,"\begin{aligned}
   {\mathrm d} ({\mathrm e}^{-\Phi}K^i ) & = 0 , \\
   {\mathrm d} ({\mathrm e}^{-\Phi}\Omega ) &= 0 , \\
   {\mathrm d} J \wedge K^1 \wedge K^2 &= 0 .
\"
28,"\begin{aligned}
  {\mathrm d} ({\mathrm e}^{-\Phi} K) & = 0, \\
  {\mathrm d} ({\mathrm e}^{-\Phi} J) & = 0, \\
  {\mathrm d} ({\mathrm e}^{-\Phi}\re \Omega )\wedge K & = 0,\\
  {\mathrm d} (\im \Omega) \wedge \im \Omega & = 0 
\"
29,"\begin{aligned}
   J^\pm &= J \pm K^1\wedge K^2 , \\
   \Omega^\pm &= \Omega \wedge (K^1 \pm iK^2) .
\"
30,"\begin{aligned}
   \vol' \wedge {\mathrm d} J^3 & =  0 , \\
   {\mathrm d} ({\mathrm e}^{-\Phi}J^{A})  & =  0 && \qquad \text{for $A=1,2$}\\
   \vol \wedge {\mathrm d} J'{}^3 & =  0\\
   {\mathrm d} ({\mathrm e}^{-\Phi} J'{}^A)  & =  0 && \qquad \text{for $A=1,2$}
\"
31,"\begin{aligned}
   {\mathrm d} \left( {\mathrm e}^{-\Phi} J^A\right) &= 0 ,  \qquad \text{for $A=1,2$}\\
   {\mathrm d}^\dagger ({\mathrm e}^{-2\Phi} J^3) &= 0 ,
\"
32,"\begin{aligned}
   {\mathrm d} \left({\mathrm e}^{-\Phi}J \right) &= 0 , \\
   {} * ({} * {\mathrm d}\re\Omega \wedge \re\Omega ) &= - 6 \,{\mathrm d} \Phi ,
\"
33,"\begin{aligned}
\label{flatNSmetric}
   {\mathrm d} s^2 &= {\mathrm e}^{2\Phi}{\mathrm d} s^2 (\mathbb{R}^{4})~, \\
   * H &= - {\mathrm e}^{2\Phi} {\mathrm d} ({\mathrm e}^{-2\Phi}) ,
\"
34,"\begin{aligned}
   \mathrm{d} s^2 &= {\mathrm e}^{2\Phi}\mathrm{d} \tilde s^2 
      +(\mathrm{d} y+B^1)^2 + (\mathrm{d} z+B^2)^2 , \\
   H_{mnp} &= -\tilde\epsilon_{mnp}{}^q\tilde{\nabla}_q {\mathrm e}^{2\Phi}
      + 3B^1_{[m}G^1_{np]} + 3B^2_{[m}G^2_{np]} , \\
   H_{mny} &= G^1_{mn} , \qquad \qquad
   H_{mnz} = G^2_{mn} ,
\"
35,"\begin{aligned}
   J &= {\mathrm e}^{2\Phi}\tilde{J} + (\mathrm{d} y+B^1) \wedge (\mathrm{d} z+B^2) , \\
   \Omega &= {\mathrm e}^{2\Phi}\tilde{\Omega} \wedge 
      \left[(\mathrm{d} y+B^1)+ \mathrm{i}(\mathrm{d} z+B^2) \right] ,
\"
36,"\begin{aligned}
   \tilde{J} \lrcorner\; G^i &= 0 , \\
   \tilde{\Omega}\lrcorner\; (G^1+\mathrm{i} G^2) &= 0 .
\"
37,"\begin{aligned}
   \mathrm{d} [{\mathrm e}^{-2\Phi}J\wedge J] &= 0 , \\ 
   \mathrm{d} [{\mathrm e}^{-2\Phi}\Omega \wedge (K^1+\mathrm{i} K^2)] &= 0 , \\
   \mathrm{d} [{\mathrm e}^{-2\Phi}J\wedge K^1 \wedge K^2] &= - {\mathrm e}^{-2\Phi} * H . \\ 
\"
38,"\begin{aligned}
   J_{mn} &= -\mathrm{i}\bar{\eta}\gamma_{mn}\eta , \\
   \Omega_{mnpq} &= \bar{\eta}^\mathrm{c}\gamma_{mnpq}\eta .
\"
39,"\begin{aligned}
   J &= e^{12} + e^{34} + e^{56} + e^{78} , \\
   \Omega &= (e^1+\mathrm{i} e^2)(e^3+\mathrm{i} e^4)(e^5+\mathrm{i} e^6)(e^7+\mathrm{i} e^8) .
\"
40,"\begin{aligned}
   \Psi^{(1)} = \tfrac{1}{2}J \wedge J - \re \Omega , \\   
   \Psi^{(2)} = \tfrac{1}{2}J \wedge J + \re \Omega .
\"
41,"\begin{aligned}
   J^1_{mn} &= - \bar\epsilon_{(2)}\gamma_{mn}\epsilon_{(3)} , \\
   J^2_{mn} &= - \bar\epsilon_{(3)}\gamma_{mn}\epsilon_{(1)} , \\
   J^3_{mn} &= - \bar\epsilon_{(1)}\gamma_{mn}\epsilon_{(2)} .
\"
42,"\begin{aligned}
   J^1 &= e^{12} + e^{34} + e^{56} + e^{78} , \\
   J^2 &= e^{14} + e^{23} + e^{58} + e^{67} , \\
   J^3 &= e^{13} + e^{42} + e^{57} + e^{86} .
\"
43,"\begin{aligned}
   \Omega^1 &= \tfrac{1}{2}J^3\wedge J^3 - \tfrac{1}{2}J^2\wedge J^2
      + \mathrm{i} J^2\wedge J^3 , \\
   \Omega^2 &= \tfrac{1}{2}J^1\wedge J^1 - \tfrac{1}{2}J^3\wedge J^3
      + \mathrm{i} J^3\wedge J^1 , \\
   \Omega^3 &= \tfrac{1}{2}J^2\wedge J^2 - \tfrac{1}{2}J^1\wedge J^1
      + \mathrm{i} J^1\wedge J^2 .
\"
44,"\begin{aligned}
   \Psi^{(1)} &= \tfrac{1}{2}J^2\wedge J^2 + \tfrac{1}{2}J^3\wedge J^3 
      - \tfrac{1}{2}J^1\wedge J^1 , \\
   \Psi^{(2)} &= \tfrac{1}{2}J^3\wedge J^3 + \tfrac{1}{2}J^1\wedge J^1  
      - \tfrac{1}{2}J^2\wedge J^2 , \\
   \Psi^{(3)} &= \tfrac{1}{2}J^1\wedge J^1 + \tfrac{1}{2}J^2\wedge J^2 
      - \tfrac{1}{2}J^3\wedge J^3 .
\"
45,"\begin{aligned}
   J^1_{mn} &=  - \left( \bar\epsilon_{(2)}\gamma_{mn}\epsilon_{(3)}
      + \bar\epsilon_{(1)}\gamma_{mn}\epsilon_{(4)} \right) , \\
   J^2_{mn} &= -\left(\bar\epsilon_{(3)}\gamma_{mn}\epsilon_{(1)}
      + \bar\epsilon_{(2)}\gamma_{mn}\epsilon_{(4)} \right) , \\
   J^3_{mn} &= - \left(\bar\epsilon_{(1)}\gamma_{mn}\epsilon_{(2)}
      + \bar\epsilon_{(3)}\gamma_{mn}\epsilon_{(4)} \right) . 
\"
46,"\begin{aligned}
   J^1 &= e^{12} + e^{34} , & \qquad 
   J'{}^1 &= e^{56} + e^{78} , \\
   J^2 &= e^{14} + e^{23} , & \qquad
   J'{}^2 &= e^{58} + e^{67} , \\
   J^3 &= e^{13} + e^{42} , & \qquad
   J'{}^3 &= e^{57} + e^{86} .
\"
47,"\begin{aligned}
   \Psi^{(1)} &= \vol + \vol' - J^1 \wedge J'{}^1 + J^2 \wedge J'{}^2
      + J^3 \wedge J'{}^3 , \\
   \Psi^{(2)} &= \vol + \vol' + J^1 \wedge J'{}^1 - J^2 \wedge J'{}^2
      + J^3 \wedge J'{}^3 , \\
   \Psi^{(3)} &= \vol + \vol' + J^1 \wedge J'{}^1 + J^2 \wedge J'{}^2
      - J^3 \wedge J'{}^3 , \\
   \Psi^{(4)} &= \vol + \vol' - J^1 \wedge J'{}^1 - J^2 \wedge J'{}^2
      - J^3 \wedge J'{}^3 .
\"
48,"\begin{aligned}
   \phi_{mnp} &= - \bar{\epsilon}_{(1)}\gamma_{mnp}\epsilon_{(2)} , \\
   K_m &= \bar{\epsilon}_{(1)}\gamma_m\epsilon_{(2)} .
\"
49,"\begin{aligned}
   \Psi^{(1)} &= - i_K {*\phi} + \phi \wedge K , \\
   \Psi^{(2)} &= - i_K {*\phi} - \phi \wedge K .
\"
50,"\begin{aligned}
   J_{mn} &= - \mathrm{i}\bar{\epsilon}\gamma_{mn}\epsilon , \\
   \Omega_{mnp} &= \bar{\epsilon}^\mathrm{c}\gamma_{mnp}\epsilon .
\"
51,"\begin{aligned}
   J &= e^{12} + e^{34} + e^{56} , \\
   \Omega &= (e^1+\mathrm{i} e^2)(e^3+\mathrm{i} e^4)(e^5+\mathrm{i} e^6) . 
\"
52,"\begin{aligned}
   J_{mn} &= - \bar{\epsilon}_{(1)}\gamma_{mn}\epsilon_{(2)} , \\
   \Omega_{mnp} &= 
      \mathrm{i} \bar{\epsilon}_{(1)}\gamma_{mnp}\epsilon_{(2)} 
      - \tfrac{1}{2} \left(
         \bar{\epsilon}_{(1)}\gamma_{mnp}\epsilon_{(1)}
         - \bar{\epsilon}_{(2)}\gamma_{mnp}\epsilon_{(2)} 
      \right) , \\
   K_m &= - \mathrm{i} \bar{\epsilon}_{(1)}\gamma_m\epsilon_{(2)} . 
\"
53,"\begin{aligned}
   \phi^{(1)} = J \wedge K - \im\Omega , \\
   \phi^{(2)} = J \wedge K + \im\Omega , \\
\"
54,"\begin{aligned}
   J^1 &= e^{14} + e^{23} , \\
   J^2 &= e^{13} + e^{42} , \\ 
   J^3 &= e^{12} + e^{34} .
\"
55,"\begin{aligned}
   J^{(1)} &= J + K^1 \wedge K^2 , &&& 
   \Omega^{(1)} &= \Omega \wedge (K^1 + \mathrm{i} K^2) , \\
   J^{(2)} &= J - K^1 \wedge K^2 , &&&
   \Omega^{(2)} &= \Omega \wedge (K^1 - \mathrm{i} K^2) . 
\"
56,"\begin{aligned}
   J &= {\mathrm e}^{2\Phi}(\mathrm{d} x^1\wedge \mathrm{d} x^2-\mathrm{d} x^3\wedge \mathrm{d} x^4)
         + (\mathrm{d} y+B^1)\wedge (\mathrm{d} z+ B^2) , \\
   J' &= {\mathrm e}^{2\Phi}(\mathrm{d} x^1\wedge \mathrm{d} x^2-\mathrm{d} x^3\wedge \mathrm{d} x^4)
         -(\mathrm{d} y+B^1)\wedge (\mathrm{d} z+ B^2) .
\"
57,"\begin{aligned}
N_{m n}^{\;\;\;\;\;\; y} &=  -2\,G^1_{mn} \\
N_{m n}^{\;\;\;\;\;\; z} &=  -2\,G^2_{mn} .
\"
