,eq
19,"\begin{eq}{rrrr}
\hbox{causal:}&\R_\ar\ni\vth(\pm t)t \mape&
 \pm \int {d q\over 2i\pi}~{{\scriptsize\pmatrix{  |m| \cr
 q\cr }}\over (q\mp io)^2-m^2}
 e^{iqt}=&
 \vth(\pm t){\scriptsize\pmatrix{ i\sin |m|t \cr \cos mt\cr}}\cr
\hbox{Feynman:}&\R_\od\uplus \R_\and\ni t\mape&
 \pm\int {d q\over i\pi} ~{{\scriptsize\pmatrix{ |m|\cr q\cr }}
\over q^2\mp io-m^2} e^{iqt}=&{\scriptsize\pmatrix{1\cr\pm\ep(t)\cr }}
 e^{\pm i |mt|}\cr
\hbox{bicone:}&\R_\od\uplus\R_\and\ni t\mape&   \int {d q\over i\pi}~
{ {\scriptsize\pmatrix{|m|\cr  q\cr }}\over q_\ro P^2-m^2}e^{iqt}
=&\ep(t) {\scriptsize\pmatrix{i\sin |m|t \cr\cos mt\cr }}\cr
\hbox{group:}&\R\ni t\mape&   \int d q~ {\scriptsize\pmatrix{|m|\cr q\cr  }}
 \ep(q)\de(q^2-m^2)e^{iqt}=&
 {\scriptsize\pmatrix{i\sin |m|t \cr\cos mt\cr }}\cr
\hbox{group:}&\R\ni t\mape& \int d q~
{\scriptsize\pmatrix{|m|\cr q\cr }}\de(q^2-m^2)e^{iqt}=&
{\scriptsize\pmatrix{\cos mt\cr i\sin |m|t \cr  }}\cr
\"
20,"\begin{eq}{c}
{\scriptsize\begin{array}{|c||c|c|}\hline
*&[m^2_1]_+&[m^2_1]_-
\cr\hline\hline
[m^2_2]_+&[m^2_+]_+&
{\scriptsize \begin{array}{r}
\vth(m_1^2-m_2^2) [m_-^2]_-\cr
+\vth(m_2^2-m_1^2)[m_-^2]_+\end{array}}
\cr\hline
[m^2_2]_-&
&[m^2_+]_-\cr
\hline
\end{array}}\hbox{ with } m_\pm=|m_1|\pm |m_2|
\"
21,"\begin{eq}{l}
[-m^2]\cong {1\over \pi}{|m|\over
q^2+m^2}
\"
22,"\begin{eq}{l}
\R_\od\x\I(2)\ni z\mape\left\{\begin{array}{rl}
\int {d q\over\pi}~{|m|\over q^2+m^2} e^{-iqz}&=
\oint {d q\over2i\pi}[{\vth(-z)\over q-i|m|}
-{\vth(z)\over q+i|m|}]e^{-iqz}
=e^{-|  mz|}\cr
\int {d q\over\pi}~{iq\over
q^2+m^2} e^{-iqz}
&=\ep(z) e^{-| m z|}\cr
\int {d q\over\pi}~{2m^2 iq\over
(q^2+m^2)^2} e^{-iqz}
&=|m|z e^{-| m z|}\cr
\end{array}\right.
\"
23,"\begin{eq}{l}
[-m_1^2]*[-m_2^2]= [-m_+^2]\cr
\"
24,"\begin{eq}{l}
\mu\in\C:~
\Res{\mu}{ 2\over q^2-\mu^2}
={1\over \mu},~~
\Res{\mu}{ 2q\over q^2-\mu^2}
=1
\"
25,"\begin{eq}{rl}
\R=\R_\od\x\I(2)\ni z&\inmap \rvec x\ni
\R^3\cong \R_\od\x\Om^2\cr
\I(2)\ni\ep(z)={z\over |z|}&\inmap {\rvec x\over r}\in\Om^2,~~r\ne 0\cr
\"
26,"\begin{eq}{l}
\rvec x=
{\scriptsize\pmatrix{x_3&x_1-ix_2\cr x_1+ix_2&-x_3\cr}}
=x_a\si_a\in\R^3
\"
27,"\begin{eq}{rl}
\rvec x&=u({\rvec x\over r })\o
{\scriptsize\pmatrix{r&0\cr 0&-r\cr}}
\o u^\star({\rvec x\over r })\cr
u({\rvec x\over r })&={\scriptsize\pmatrix{
\cos{\th\over2}&-e^{-i\phi}\sin{\th\over2}\cr
e^{i\phi}\sin{\th\over2}&\cos{\th\over2}\cr}}
={1\over \sqrt{2r(r+x_3)}}{\scriptsize\pmatrix{
r+x_3&-x_1+ix_2\cr x_1+ix_2&r+x_3\cr}}\in\SU(2)
\"
28,"\begin{eq}{l}
\int {d^3 q\over 4\pi}~ \tilde\mu(\rvec q^2) e^{-i\rvec q\rvec x}
=-{d\over d r^2 }\int dq~\tilde\mu(q^2) e^{-iq r}
,~~\rvec\p={\rvec x\over r}{d\over d r}=2\rvec x {d^2\over d r^2}
\"
29,"\begin{eq}{rlrl}
\int{d^3 q\over 2\pi^2}{1\over
\rvec q^2\mp io-m^2}e^{-i\rvec q\rvec x}&=
{e^{\pm i |m|r }\over r  },&
  \int{d^3 q\over \pi^2}{\mp i|m|\over
(\rvec q^2\mp io-m^2)^2}e^{-i\rvec q\rvec x}&=
e^{\pm i |m|r }\cr
\int {d^3q\over 2\pi^2}{1\over
\rvec q^2+m^2}e^{-i\rvec q\rvec x}
&={e^{-|m|r }\over r  }
,&
\int {d^3q\over \pi^2}{|m|\over
(\rvec q^2+m^2)^2}e^{-i\rvec q\rvec x}
&=e^{-|m|r } \cr
\"
30,"\begin{eq}{l}
{e^{-\mu r}\over r}=-{2\over\mu}{d\over dr^2}e^{-\mu r}
,~~\mu\in\{\mp i(|m|\pm io),|m|\}
\"
31,"\begin{eq}{l}
\int {d^3q\over 2\pi^2}
{i\rvec q~\over \rvec q^2+\mu^2}e^{-i\rvec q\rvec x}=
-\rvec\p{e^{-\mu r}\over r}={\rvec x\over r }
{ 1+\mu r\over r^2 }e^{- \mu r },~~
\int {d^3q\over \pi^2}
{i\rvec q~\over (\rvec q^2+\mu ^2)^2}e^{-i\rvec q\rvec x}
=-\rvec\p{e^{-\mu r}\over \mu}={\rvec x\over r }
e^{- \mu r }\cr
\"
32,"\begin{eq}{l}
(\rvec x)_{L_3}^L=
r^L\ro Y^{L}_{L_3}(\phi,\th),~~\left\{\begin{array}{ll}
\rvec{\p}^2\ro Y^L_{L_3}(\phi,\th)&={L(1+L)\over r^2}\ro Y^L_{L_3}(\phi,\th)\cr
\rvec{\p}^2(\rvec x)_{L_3}^L&=0\cr\end{array}\right.
\"
33,"\begin{eq}{rcrll}
k_L(R)&=&(-R)^L({1\over R}{\p\over\p R})^L{e^{-R}\over
R}
&={1\over R^{1+L}}{e^{-R}\over 2^L}{\SUM_{n=0}^L}{(2L-n)!
\over (L-n)!}{(2R)^n\over n!}\cr
&=&(\pm i)^{1+L}h^\pm(\pm iR)
&={e^{- R}\over  R},
{1+ R\over R^2}e^{- R},\dots&\stackrel{R\to0}\longrightarrow {1\over R^{1+L}}\cr
h_L^\pm(R)
&=&n_L(R)\pm i j_L(R)&={e^{\pm iR}\over R},{1\mp iR\over R^2}e^{\pm iR},\dots\cr
&&
 n_{L}( R)
 &={\cos R\over  R},{\cos R+ R\sin R\over  R^2},\dots
&\stackrel{R\to0}\longrightarrow{1\over  R^{1+L}}\cr
&&j_{L}( R)
&={\sin R\over  R},
{\sin R- R\cos R\over  R^2},\dots&\stackrel{R\to0}\longrightarrow R^L\cr

\"
34,"\begin{eq}{l}
(\rvec q)^{2J}
\de^{(N)}(m^2-\rvec q^2)
\hbox{ for }\left\{
\begin{array}{rl}
J&=0,{1\over2},1,\dots\cr
N&=0,1,2,\dots\cr
\end{array}\right.\cr
\"
35,"\begin{eq}{rrlcr}
\R^3\ni\rvec x\mape&
 \int{d^3q\over 2\pi}~
\de(\rvec q^2-m^2)e^{-i\rvec q\rvec x}&={\sin |m|r \over r}
&=&|m|j_0(|m|r)\cr
\R^3\ni\rvec x\mape &\int{d^3q\over2 \pi}~i\rvec q~
\de(\rvec q^2-m^2)e^{-i\rvec q\rvec x}&
={\rvec x\over r}~{\sin |m|r -|m|r\cos mr\over r^2}
&=&|m|^3\rvec x~{j_1(|m|r)\over|m| r}\cr
\"
36,"\begin{eq}{l}
\sqrt{2\over\pi}{j_{L}( R)\over R^L}=
{\cl J_{{1+2L\over2}}(R)\over
R^{1+2L\over2}}=
{\SUM_{n=0}^\infty}{ (-{R^2\over4})^n\over \Ga({3\over2}+L+n)n!}

\"
37,"\begin{eq}{l}
\int{d^3q\over \pi}~
{|m|\pm\rvec q\over (\rvec q^2\mp io-m^2)^2}e^{-i\rvec q\rvec x}
=(\bl 1_2-{\rvec x\over r})e^{\mp i|m|\rvec x}
\"
38,"\begin{eq}{rl}

\R^3\ni\rvec x\mape&
\int{d^3q\over \pi}~

(|m|+\rvec q)\de'(m^2-\rvec q^2)e^{-i\rvec q\rvec x}\cr
&=\cos m r-i{\rvec x\over r}\sin|m|r
=e^{-i|m|\rvec x}\in\SU(2)
\"
39,"\begin{eq}{l}
\left.\begin{array}{ll}
{(\rvec q)^{2J}\over (\rvec q^2_\ro P\mp m^2)^{2+J+N}}
&\hbox{for }J=0,1,\dots\cr
{(\rvec q)^{2J} \over(\rvec q^2_\ro P\mp m^2)^{{5\over2}+J+N}}
&\hbox{for }J={1\over2},{3\over 2},\dots\cr\end{array}\right\}
\hbox{and }N=0,1,\dots
\"
40,"\begin{eq}{rrcr}
\R^3\ni\rvec x\mape& \int{d^3q\over \pi^2}~
{|m|\over(\rvec q_\ro P^2\mp m^2)^2}
e^{-i\rvec q\rvec x}&=&(\sin |m|r,e^{-|m|r }) \cr
& \int{d^3q\over \pi^2}~
{i\rvec q\over(\rvec q_\ro P^2\mp m^2)^2}
e^{-i\rvec q\rvec x}&=&{\rvec x\over r}~(-\cos mr,e^{-|m|r }) \cr
\R^3\ni\rvec x\mape& \int{d^3q\over \pi^2}~
{4m^2 i\rvec q\over(\rvec q_\ro P^2\mp m^2)^3}
e^{-i\rvec q\rvec x}&=&|m|\rvec x~(\sin |m|r,e^{-|m|r }) \cr
\"
41,"\begin{eq}{rrcrl}
\rstate{1,\rvec 0}\sim & e^{-|m|r }&=&
\int{d^3q\over \pi^2}~
{|m|\over(\rvec q^2+m^2)^2}
e^{-i\rvec q\rvec x},&|m|=1 \cr
\rstate{2,\rvec 1}\sim&2|m|\rvec x~ e^{-|m|r }&=&
\int{d^3q\over \pi^2}~
{8m^2i\rvec q\over(\rvec q^2+ m^2)^3}
e^{-i\rvec q\rvec x},&|m|={1\over 2} \cr
\"
42,"\begin{eq}{l}
\rstate{k,\rvec L}\sim
(2|m|\rvec x)^L~ \ro L_{1+2L}^N(2|m|r)e^{-|m|r}\cr
E={\rvec q^2\over 2}=-{m^2\over 2},~~|m|={1\over k},~~k=1+L+N
\"
43,"\begin{eq}{rl}
\ro L^N_\la(  \rho )&=( \rho ^{-\la}e^  \rho  {d\over d  \rho }
  \rho ^ {\la}e^{-  \rho })^N{\rho^N\over N!}
 ={\SUM_{n=0}^N}{\la+N \choose\la+n }{(-\rho)^n\over n!},~~\left\{
 \begin{array}{rl}
 \R&\ni \la\ne-1,-2,\dots\cr
N&=\deg\ro L_\la^N\end{array}\right.
\"
44,"\begin{eq}{rrcrl}
\rstate{2,\rvec 0}\sim&(2-2|m|r) e^{-|m|r }&=&\int{d^3q\over \pi^2}~
{4|m|(\rvec q^2-m^2)\over(\rvec q^2+m^2)^3}
e^{-i\rvec q\rvec x},&|m|={1\over2} \cr
\rstate{3,\rvec 1}\sim&2|m|\rvec x~ (4-2|m|r)e^{-|m|r }&=&
\int{d^3q\over \pi^2}~
{48 m^2i\rvec q(\rvec q^2-m^2)\over(\rvec q^2+ m^2)^4}
e^{-i\rvec q\rvec x},&|m|={1\over 3} \cr
\"
45,"\begin{eq}{rll}
{1\over \pi^2}~
{|m_1|\over(\rvec q^2+m_1^2)^2}
*{1\over \pi^2}~
{|m_2|\rvec q\over(\rvec q+m_2^2)^3}
={1\over \pi^2}~
{|m_+|\rvec q\over(\rvec q+m_+^2)^3},~~|m_+|=|m_1|+|m_2|
\"
46,"\begin{eq}{l}
\R\x\Om^2\inmap\ol \C\x \Om^2\ni
\rvec q=|\rvec q|~{\rvec q\over |\rvec q|}\mape {1\over\rvec q^2-\mu^2}\in\ol\C
\"
47,"\begin{eq}{l}
\mu\in\C:~~\Res{\mu} {4\mu\over \rvec (q^2-\mu^2)^n}
=\oint_{\mu} {d^3q\over 2i\pi^2}{4\mu\over (\rvec q^2-\mu^2)^n}
=\oint_{\mu}{d q\over 2i\pi}{4\mu q^2\over (q^2-\mu^2)^n}=\left\{
\begin{array}{rl}
2\mu^2,&n=1\cr
1,&n=2\cr\end{array}\right.
\"
48,"\begin{eq}{l}
\begin{array}{l}
\O(d-s,s)\sx\d\R^d:\cr
\mu^2,\nu\in\R\end{array}
\left\{\begin{array}{l}
  \int {d^dq\over (\pm i)^{s}\sqrt{\pi^d}}
 ~{ \Ga({d\over2}+1+\nu )\over(q^2\mp io-\mu^2)^{{d\over2}+1+\nu } }
={2\over d}\int {d^dq\over (\pm i)^{s}\sqrt{\pi^d}}
 ~{q^2~ \Ga({d\over2}+2+\nu )\over(q^2\mp io-\mu^2)^{{d\over2}+2+\nu } }\cr
= {\Ga(1+\nu)\over (\mp io-\mu^2)^{1+\nu}}
=\left\{\begin{array}{ll}
 {\Ga(1+\nu)\over (-\mu^2_\ro P)^{1+\nu}}\pm i\pi\de^{(\nu)}(\mu^2),&\nu=0,1,2,\dots\cr
 {\Ga(1+\nu)[\vth(-\mu^2)+e^{\pm i\pi(1+\nu)}\vth(\mu^2)]
 \over |\mu^2|^{1+\nu}},&\nu\ne
0,1,2,\dots\end{array}\right.\cr\end{array}\right.
\"
49,"\begin{eq}{rl}
\left.\begin{array}{rl}
\d\R^1:&
 \pm  \int {dq~\over i \pi}
 {1\over q^2\mp io-\mu^2  }\cr

\O(3)\sx\d\R^3:&
\pm \int {d^3q\over i\pi^2}
 ~{ 1\over(\rvec q^2\mp io-\mu^2)^2 }\end{array}\right\}
&= {\vth(\mu^2)\mp i\vth(-\mu^2)\over |\mu|}\cr
\cr
\left.\begin{array}{rl}

\O(1,1)\sx\d\R^2:&
  \pm\int {d^2q\over i\pi }
 ~{1\over(q_0^2-q_3^2\mp io-\mu^2)^2 }\cr
 \O(1,3)\sx\d\R^4:&
  \mp \int {d^4q\over i\pi^2}
 ~{ 2\over(q_0^2-\rvec q^2\mp io-\mu^2)^3 }\end{array}\right\}
&= -{1\over \mu^2_\ro P}\pm i\pi\de(\mu^2)\cr
\"
50,"\begin{eq}{l}
 x
={\scriptsize\pmatrix{x_0+x_3&0\cr 0&x_0-x_3\cr}}
=x_0\bl 1_2+x_3\si_3\in\R^2\cong (\R_\od\uplus\R_\and)
\hskip-1mm\pl\hskip-1mm (\I(2)\x\R_\od)
\"
51,"\begin{eq}{l}
\SO_0(1,1):~~x_0\pm x_3\mape e^{\pm {\psi_3}}(x_0\pm x_3)
\"
52,"\begin{eq}{rrl}

\hbox{Feynman:}&\pm{1\over i\pi}{1\over q^2\mp io-m^2}&
=\de(q^2 -m^2)
\pm {1 \over i\pi}
{1\over q^2_\ro P -m^2}\cr
\hbox{causal:}&\pm{1 \over 2i\pi}{1\over (q\mp io)^2 -m^2}
&={1\over2}[\ep(q_0)\de(q^2 -m^2)
\pm{1 \over i\pi}
{1\over q^2_\ro P -m^2}]\cr
&&\hbox{with }(q\mp io)^2=(q_0\mp io)^2-q_3^2\cr
&{\scriptsize\pmatrix{1\cr\ep(q_0)\cr}}\de(q^2-m^2)
&=\de_\od(q^2-m^2)\pm \de_\and(q^2-m^2)\cr

\"
53,"\begin{eq}{rl}
\int d^2q~\de(q^2-m^2)e^{iqx}
&=-\pi\cl N_0(\sqrt{{m^2x^2\over4}})\cr
&=-\vth(x^2)\pi\cl N_0(\sqrt{{m^2x^2\over4}})
+\vth(-x^2)2\cl K_0(\sqrt{-{m^2x^2\over4}})
\cr
\"
54,"\begin{eq}{rl}
\R\ni \xi\mape
\pi\cl N_0(\xi)
&=
{\SUM_{n=0}^\infty}{ (-{\xi^2\over4})^n\over (n!)^2}
[\log{|\xi^2|\over4}+2\ga_0-2\phi(n)]=-2\cl K_0(-i\xi)\cr
\phi(0)&=0,~~\phi(n)=1+{1\over2}+\ldots +{1\over n},~~n=1,2,\dots \cr
\ga_0&=-\Ga'(1)=\lim_{n\to\infty}\brack{\phi(n)-\log n}=0.5772\ldots\cr
\"
55,"\begin{eq}{rl}
 \int {d^2q \over i\pi}
{1\over q^2_\ro P -m^2}
e^{iqx}
&=\ep(x_0)
 \int d^2q~\ep(q_0)\de(q^2-m^2)e^{iqx}\cr
 &= i\pi\vth(x^2)\cl E_0({m^2x^2\over4})\cr
\"
56,"\begin{eq}{rl}
\R\ni \xi\mape\cl E_L({\xi^2\over4})&={\cl J_L(\xi)\over({\xi\over2})^L}=
{\SUM_{n=0}^\infty}{ (-{\xi^2\over4})^n\over (L+n)!n!}
=\(-{\p\over\p{\xi^2\over 4}}\)^L\cl E_0({\xi^2\over4}),~~
L=0,1,\dots\cr
\cl E_0({\xi^2\over4})&=\cl J_0(\xi),~~
(1+L)\cl E_{1+L}({\xi^2\over4})
=\cl E_L({\xi^2\over4})+{\xi^2\over4}\cl E_{2+L}({\xi^2\over4})
\"
57,"\begin{eq}{rl}
\pm \int {d^2q \over i\pi}
{1\over q^2\mp io  -m^2}
e^{iqx}
&=-\pi\vth(x^2)\cl H_0^\mp(\sqrt{{m^2x^2\over4}})
+\vth(-x^2)2\cl K_0(\sqrt{-{m^2x^2\over4}})\cr
\"
58,"\begin{eq}{l}
\pm {1\over 2i\pi}
{q\over (q\mp io)^2-m^2},~~
\pm {1\over i\pi}
{q\over q^2\mp io-m^2}
\hbox{ etc. }
\"
59,"\begin{eq}{rl}
\int {d^2q\over i\pi}~{q\over q^2_\ro P-m^2}
e^{iqx}
&=\ep(x_0)
 \int d^2q~q\ep(q_0)\de(q^2-m^2)e^{iqx}\cr

&=\pi\p~\vth(x^2)
\cl E_0({m^2x^2\over4})
= \pi{x\over2}
[\de({x^2\over4})
-\vth(x^2)m^2\cl E_1({m^2x^2\over4})]\cr
\"
60,"\begin{eq}{rl}
\pi g(m^2,x)&=\int d^2q~e^{iqx}~\tilde g(m^2,q)=
  \int dq_3~ e^{-i q_3x_3} g(q_0,x_0)\cr
 & =\int dq_0~ e^{iq_0x_0}[
  \vth(q_0^2-m^2) g^c(q_3,x_3)  +\vth(m^2-q_0^2) g^{nc}(iq_3,x_3)]\cr
\cr
\hbox{time:}&
\R\ni x_0\mape   g(q_0,x_0)\cr
\hbox{position:}&
\R\ni x_3\mape\left\{\begin{array}{ll}
  g(q_3,x_3)\cr
  g^{nc}(iq_3,x_3)\cr\end{array}\right.\cr
\"
61,"\begin{eq}{c}
\begin{array}{|c||c||c|c|}\hline
&\hbox{\bf time}
&\hbox{\bf position}
&\hbox{\bf position}\cr
&\hbox{ (compact)}
&\hbox{ (compact)}
&\hbox{(noncompact)}\cr\hline
\tilde g(m^2,q)& g(q_0,x_0)& g^c(q_3,x_3)&
 g^{nc}(iq_3,x_3)\cr\hline
&q_0=\sqrt{m^2+q_3^2}&q_3=\sqrt{q_0^2-m^2}&iq_3=|Q|=\sqrt{m^2-q_0^2}\cr
\hline\hline

\hbox{\bf Lorentz scalars}&&&\cr\hline

\hfill \de(m^2-q^2)&{\cos q_0x_0\over q_0}
&{\cos q_3x_3\over q_3}  &0\cr\hline


\hfill \ep(q_0)\de(m^2-q^2)
&  i{\sin q_0x_0\over q_0}
&\ep(q_0){\cos q_3x_3 \over q_3}
&0\cr\hline


{1 \over i\pi}{1\over q^2_\ro P -m^2}
& \ep(x_0)i{\sin q_0x_0\over q_0}
& -i{\sin  q_3|x_3|\over q_3}
&  i{e^{-  |Qx_3|}\over |Q|} \cr\hline
\hline


\hbox{\bf Lorentz vectors}&&&\cr\hline


\phantom{\ep(q_0)}q\de(m^2-q^2)&{\scriptsize\pmatrix{
\hfill i\sin q_0x_0\cr
\hfill {q_3\over q_0}~\cos q_0x_0\cr}}&
{\scriptsize\pmatrix{
\hfill {q_0\over q_3}~\cos q_3x_3 \cr
\hfill i\sin q_3x_3\cr}}&0\cr\hline

q\ep(q_0)\de(m^2-q^2)&
 {\scriptsize\pmatrix{
\hfill \cos q_0x_0\cr
\hfill {q_3\over q_0}~i\sin q_0x_0\cr}}
&\ep(q_0){\scriptsize\pmatrix{
\hfill {q_0\over q_3}~\cos q_3x_3 \cr
\hfill i\sin q_3x_3\cr}}
&0\cr\hline

{1 \over i\pi}{q\over q^2_\ro P -m^2}
& \ep(x_0)
{\scriptsize\pmatrix{
\hfill \cos q_0x_0\cr
\hfill {q_3\over q_0}~i\sin q_0x_0\cr}}
& -{\scriptsize\pmatrix{
\hfill {q_0\over q_3}i\sin q_3|x_3|\cr
\hfill \ep(x_3)\cos q_3x_3
\cr}}
&{\scriptsize\pmatrix{
  \hfill i{q_0\over |Q|}\cr
\hfill  \ep(x_3)\cr}}
 e^{-  |Qx_3|}\cr\hline



\end{array}\cr\cr
\hbox{\bf Time and Position Representations for $\R^2$-Spacetime}

\"
62,"\begin{eq}{l}
{\p\over\p |m|}=2|m|{\p\over\p m^2}\cong
{|m|\over q_0}{\p\over \p q_0}
\cong-{|m|\over  q_3}{\p\over \p q_3}\cong {|m|\over |Q|}{\p\over \p |Q|}\cr
\"
