,aligned
10,"\begin{aligned}
\xymatrix{
  Fx\ar[ddd]_{\eta_x}
    \ar@{}[ddd]^(0.85){}=""fx""\ar@/^3ex/[rrr]^{Fg}=""a""\ar@/_3ex/[rrr]_{Fg^\prime}=""b""
  &&&Fy\ar[ddd]^{\eta_y}\ar@{}[ddd]_(0.15){}=""fy""\\
  \\
  \\
  \tilde Fx\ar@/^3ex/[rrr]^{\tilde Fg}=""c""\ar@/_3ex/[rrr]_{\tilde Fg^\prime}=""d""&&&\tilde Fy\\
  \ar@{=>}^{Ff} ""a""+<0pt,-2.5ex>;""b""+<0pt,2.5ex>
  \ar@{:>}^{\tilde Ff} ""c""+<0pt,-2.5ex>;""d""+<0pt,2.5ex>
  \ar@{} ""fy"";""c""|(0.3){}=""f1""
  \ar@{} ""fy"";""c""|(0.7){}=""f2""
  \ar@{} ""b"";""fx""|(0.3){}=""b1""
  \ar@{} ""b"";""fx""|(0.7){}=""b2""
  \ar@{=>} ""f1"";""f2""^{\eta_{g^\prime}}
  \ar@{:>} ""b1"";""b2""_{\eta_g}
}
\"
11,"\begin{aligned}
\xymatrix{
  &&&&Fy\ar[drr]^{Fg_2}\ar[ddd]_{\eta_y}
    \ar@{}[ddddllll]|(0.4){}=""e""\ar@{}[ddddllll]|(0.55){}=""f""\\
  Fx\ar[ddd]_{\eta_x}\ar[urrrr]^{Fg_1}\ar[rrrrrr]^{F(g_1\cdot g_2)}&&&&&&
  Fz\ar[ddd]^{\eta_z}\ar@{}[dddllllll]|(0.12){}=""a""\ar@{}[dddllllll]|(0.25){}=""b""
    \ar@{}[ddll]|(0.3){}=""c""\ar@{}[ddll]|(0.6){}=""d""\\
  \\
  &&&&\tilde Fy\ar[drr]^{\tilde Fg_2}\\
  \tilde Fx\ar[urrrr]^{\tilde Fg_1}\ar[rrrrrr]_{\tilde F(g_1\cdot g_2)}&&&&&&\tilde Fz
  \ar@{=>}_{\eta_{g_1\cdot g_2}} ""a"";""b""
  \ar@{:>}^{\eta_{g_2}} ""c"";""d""
  \ar@{:>}^{\eta_{g_1}} ""e"";""f""
}
\"
12,"\begin{aligned}
\xymatrix{
  v_1\ar[rr]^{\del_1f}&&v_2\ar[dd]^{\del_2f}\\
  \\
  &&v_3\ar[uull]^{\del_3f}=""a""
  \ar@{=>}_f [uu]+<-2.5ex,-2.5ex>;""a""+<2.5ex,2.5ex>
}
\"
13,"\begin{aligned}
\xymatrix{
  v_1\ar[ddrr]_{{(\del_3f)}^\ast}=""a""\ar[rr]^{\del_1f}&&v_2\ar[dd]^{\del_2f}\\
  \\
  &&v_3
  \ar@{<=}_{f^\ast} [uu]+<-2.5ex,-2.5ex>;""a""+<3ex,3ex>
}
\"
14,"\begin{aligned}
\xymatrix{
  v_1&&v_2\ar[ll]_{{(\del_1f)}^\ast}\\
  \\
  &&v_3\ar[uu]_{{(\del_2f)}^\ast}\ar[uull]^{\del_3f}=""a""
  \ar@{=>}_{\overline f}[uu]+<-2.5ex,-2.5ex>;""a""+<2.5ex,2.5ex>
}
\"
15,"\begin{aligned}
\xymatrix{
  1\ar[ddrr]_{g_{13}}=""a""\ar[rr]^{g_{12}}&&2\ar[dd]^{g_{23}}\\
  \\
  &&3
  \ar@{=>}_{f_{123}} [uu]+<-2.5ex,-2.5ex>;""a""+<2.5ex,2.5ex>
}
\"
16,"\begin{aligned}
\xymatrix{
  1&&2\ar[ll]_{g_{12}^{-1}}=""a""\ar[dd]^{g_{23}}\\
  \\
  &&3\ar[uull]^{g_{13}^{-1}}
  \ar@{=>}_{{\hat f}_{123}} []+<-3ex,6ex>;""a""+<2ex,-4ex>
}
\"
17,"\begin{aligned}
\xymatrix{
  \ast\ar[dd]_{\eta_v}\ar[rr]^{Fe}&&\ast\ar[dd]^{\eta_w}\ar@{}[ddll]|(0.5){}=""b""\ar@{}[ddll]|(0.2){}=""a""\\
  \\
  \ast\ar[rr]_{\tilde Fe}&&\ast
  \ar@{=>}^{\eta_e} ""a"";""b""
}
\"
18,"\begin{aligned}
\xymatrix{
  &&&&\ast\ar[drr]^{g_{23}}\ar[ddd]_{\eta_2}
    \ar@{}[ddddllll]|(0.4){}=""e""\ar@{}[ddddllll]|(0.55){}=""f""\\
  \ast\ar[ddd]_{\eta_1}\ar[urrrr]^{g_{12}}\ar[rrrrrr]_{g_{13}}=""g""&&&&&&
  \ast\ar[ddd]^{\eta_3}\ar@{}[dddllllll]|(0.12){}=""a""\ar@{}[dddllllll]|(0.25){}=""b""
    \ar@{}[ddll]|(0.3){}=""c""\ar@{}[ddll]|(0.6){}=""d""\\
  \\
  &&&&\ast\ar[drr]^{{\tilde g}_{23}}\\
  \ast\ar[urrrr]^{{\tilde g}_{12}}\ar[rrrrrr]_{{\tilde g}_{13}}=""h""&&&&&&\ast
  \ar@{=>}_{\eta_{13}} ""a"";""b""
  \ar@{:>}^{\eta_{23}} ""c"";""d""
  \ar@{:>}^{\eta_{12}} ""e"";""f""
  \ar@{=>}_{f_{123}} [uuuull]+<-1.5ex,-2.5ex>;""g""+<2ex,2.5ex>
  \ar@{:>}_{{\tilde f}_{123}} [ull]+<-1.5ex,-2.5ex>;""h""+<2ex,2.5ex>
}
\"
19,"\begin{aligned}
\xymatrix{
  Fx\ar@/^3ex/[ddd]^{\eta_x}=""e""\ar@/_3ex/[ddd]_{\theta_x}=""f""
    \ar@/^3ex/[rrr]^{Fg}=""a""\ar@/_3ex/[rrr]_{Fg^\prime}=""b""
  &&&Fy\ar@/_3ex/[ddd]_{\eta_y}=""g""\ar@/^3ex/[ddd]^{\theta_y}=""h""\\
  \\
  \\
  \tilde Fx\ar@/^3ex/[rrr]^{\tilde Fg}=""c""\ar@/_3ex/[rrr]_{\tilde Fg^\prime}=""d""&&&\tilde Fy\\
  \ar@{=>}^{Ff} ""a""+<0pt,-2.5ex>;""b""+<0pt,2.5ex>
  \ar@{=>}^{\tilde Ff} ""c""+<0pt,-2.5ex>;""d""+<0pt,2.5ex>
  \ar@{=>}^{\mu_x} ""e""+<-3ex,0pt>;""f""+<3ex,0pt>
  \ar@{=>}^{\mu_y} ""g""+<3ex,0pt>;""h""+<-3ex,0pt>
}
\"
