explicitly the Feynman graphs in open string field theory \cite{BKM1}.

\item  The off-diagonal part of the kinetic term depends on a specific
combination of momentum modes, namely $\hat{p}=\left( 1+\bar{w}w\right)
^{-1/2}\sum_{e}w_{e}p_{e}$ which we refer to as the \textquotedblleft
anomalous midpoint mode'' \cite{BM1}\cite{B2}. This mode appears in the
kinetic operator in the form $L_{0}=\gamma +\cdots ,$ with $\gamma \sim \hat{%
p}^{2}$, while the remaining part of the kinetic term is diagonal in mode
space. We named the term $\gamma $ the \textquotedblleft midpoint
correction'' . We found that if it were not for this midpoint correction, the
rest of the kinetic plus interaction terms would define a theory, equivalent
to an infinite matrix theory, that is vastly simpler and completely solvable 
\cite{BKM2}. However we determined that the $\gamma $ term is essential for
the correct definition of string field theory. Thus we have isolated the
hard part of string field theory in the form of the quadratic
\textquotedblleft midpoint correction'' term $\gamma .$ We have shown that
all classical solutions, including the true vacuum, of the interacting
string theory, are obtained analytically by first solving the nonlinear
equation explicitly by ignoring $\gamma ,$ and then including the effect of $%
\gamma $ in a closed formal expression that can be evaluated to any order in
a perturbative expansion in powers of $\gamma $ \cite{BKM2}.
\end{enumerate}

In our published work so far, we have demonstrated all of the above results
explicitly mainly in the matter sector. We have implied, and sometimes
explicitly included, the corresponding contribution of ghosts either in the
bosonic \cite{BM2} or fermionic \cite{BKM1,BKM2} version but the details
were not given explicitly. The purpose of the present paper is to provide
all the relevant material on fermionic ghosts which we used previously, in
an organized and comprehensive manner. In this sense, this paper completes
the basic formulation of MSFT.

Because we will try to be quite explicit, the content of this paper will be
rather technical. The construction of the Moyal product for fermionic ghosts
is basically parallel to the bosonic case \cite{B1,BM1,BM2}, except that we
need to be careful in some minor differences, including midpoint issues,
which appear in the ghost fields $b,c$.

The first point relates to the boundary conditions. While we needed to
consider Neumann type boundary conditions for the matter fields (open
strings on the D25 brane), Dirichlet type boundary conditions appear
for the ghost field. Therefore, the Fourier basis is different. The
regularization method developed in \cite{BM1, BM2} was based on the Fourier
modes, hence some care is needed to make the regularization compatible in
the matter and ghost sectors. The regularization developed in this paper can
be applied also to the treatment of the matter sector for lower D$p$ branes (%
$p<25$).

The second point relates to the overlapping conditions of split strings. For
the matter fields, we have to treat only overlapping conditions for the
split string degrees of freedom. For the ghost fields, on the other hand, we
should also consider the anti-overlapping conditions. This induces some
changes in the mapping of Witten's star to Moyal's star.

The third point is the fermionic nature of Moyal variables. The usual
bosonic derivatives which appear in the definition of the Moyal product get
replaced by derivatives of fermionic variables, and care is needed in the
ordering and signs.

The fourth point is the treatment of the midpoint mode. This is a rather
delicate issue since, as in the matter sector, it cannot be determined from
the split string formulation. The fermionic midpoint mode is not part of the
Moyal $\star $ product, and it is integrated in the definition of the
action. In the Siegel gauge, the dependence on this extra fermionic variable
becomes trivial, and it drops out in actual computations.

We mention the work of Erler \cite{Erler} where he defined the Moyal star
formulation for the ghost system mainly in the continuous basis
\cite{DLMZ}.\footnote{
There are some works on Moyal structure of Witten's
string field theory.\cite{conti}
}
There are overlaps of the current paper with his work especially in the
second and third points mentioned above. The correct treatment of the
midpoint appeared first in our work \cite{BKM1}, and his paper was modified
subsequently. Beyond the preliminary level, for correct computation with
ghosts, the results of the present paper are needed.


The definition of the fermionic Moyal product outlined above is given in
section \ref{sec:partI}. Because of its technical nature, we first summarize
the fundamental formulae at the beginning of the section, and explain the
full detail in the subsections. Readers who wish to skip the details of the
derivation can proceed to later sections by skipping the latter part. In
subsection \ref{sec:sine}, we first discuss the issue of boundary conditions
in general for fermions and the corresponding regularization scheme. We also
give a brief review of \cite{BM2} in appendix \ref{sec:review_app}. Together
with it, this paper provides the basic formulae for both the ghost and
matter sectors in a compact form. We then discuss the mapping from Witten's
star to Moyal's star in subsection \ref{sec:odd_Moyal}. Finally we apply
these techniques to the actual $bc$ ghost system in subsection \ref
{sec:Moyalbc}, and derive the correspondence between the conventional
oscillators and Moyal variables in subsection \ref{oscillators}.


After this preparation, in section \ref{sec:partII}, we define the monoid
algebra among gaussian string fields, which provides a useful tool for
computations (this is almost a group, except for inverse). We compute the
star product of $n$ monoid elements, which as a by-product give the Neumann
coefficients in the ghost sector. These were conjectured in \cite{BM2} by
using a nontrivial relation with the Neumann coefficients in the matter
sector. In this paper, we derive them directly from the fermionic Moyal
product. They satisfy the Gross-Jevicki- nonlinear relations exactly for any
frequencies $\kappa _{e},\kappa _{o}$ and any $N$. This fact confirms the
consistency of our construction including the midpoint prescription. As in
the matter sector, they are simple functions of the matrix $t_{eo}$ for
any $n$-point vertex, and they can be related to the corresponding
matter Neumann coefficients by the simple procedure of replacing the
matrix $t$ by its inverse.

We also give the direct numerical comparison between the analytic form of
the Neumann coefficients $\mathcal{M}$ obtained from conformal field theory
and our algebraic expression. We confirmed that the approximate value for
finite $N$ converges to its exact value as $N\rightarrow \infty $ with the
following universal behavior, ${\mathcal{M}_{nm}(N)}/{\mathcal{M}
_{nm}(cft)}\sim 1+a_{nm}N^{-\alpha }$ where the exponent is approximately 
$\alpha \sim 1.33$ for matter sector and $\alpha \sim 0.67$ for the ghost
sector for any components of the Neumann coefficients. While this analysis
is of different nature from the other parts in this paper, it is included
here since it gives strong support on the consistency of MSFT in \cite{BM2}
and this paper. It also provides the basis for numerical computation of MSFT
in our future study.

In section {\ref{sec:partIII} we apply the formalism. First}, we present the
derivation of the open string field action in the Siegel gauge by including
both matter and ghost fields. This action was the starting point in our
recent work \cite{BKM1,BKM2} where we used the results of the present paper
without providing the details. Finally, we also compute the ghost
contribution to the Feynman graphs for the four-point scattering amplitude
for off-shell tachyons, whose matter sector was discussed in \cite{BKM1}.

\section{Moyal's star from Witten's star in fermionic ghost sector \label
{sec:partI}}

In this section we construct the map from Witten's star product to the Moyal
star product for fermionic variables. The fermionic version of the Moyal $%
\star $ product was called ``anti-Moyal star product''\ in the literature 
\cite{BFFLS}. More general star products have also been considered in the
context of deformation quantization of super-Poisson brackets \cite
{Bordemann}. The anti-Moyal star product will simply be referred to as the
Moyal star product in the following. A first basic construction for the
ghost $bc$ system, following the one in the matter sector \cite{B1}, was
previously discussed in \cite{Erler}, while the correct treatment of the
midpoint was first given in \cite{BKM1}. In this section we give the
complete treatment, including the consistent regularization with the matter
sector.

We also define the even basis of ghost modes that is most transparent for
our computations, after defining some other bases as well. We first
summarize the main results of this rather lengthy and technical section:

\begin{itemize}
\item  The Moyal $\star $ acts on fermionic ghost modes $\xi \equiv
(x_{o},p_{o},y_{o},q_{o})$ ($o=1,3,5,\cdots ,2N-1$) as 
\begin{equation}
(A\star B)(x_{o},p_{o},y_{o},q_{o})=A\exp \left( {\frac{\theta ^{\prime }}{2}%
}\sum_{o>0}\left( {\frac{\overleftarrow{\partial }}{\partial x_{o}}}{\frac{%
\overrightarrow{\partial }}{\partial p_{o}}}+{\frac{\overleftarrow{\partial }%
}{\partial y_{o}}}{\frac{\overrightarrow{\partial }}{\partial q_{o}}}+{\frac{%
\overleftarrow{\partial }}{\partial p_{o}}}{\frac{\overrightarrow{\partial }%
}{\partial x_{o}}}+{\frac{\overleftarrow{\partial }}{\partial q_{o}}}{\frac{%
\overrightarrow{\partial }}{\partial y_{o}}}\right) \right) B\,,
\label{e_M1}
\end{equation}
where $\theta ^{\prime }$ is a parameter which absorbs units, and if
desired, could be absorbed away by a rescaling of the variables which
amounts to a choice of units. We note the canonical structure $\left\{
x_{o},p_{o^{\prime }}\right\} _{\star }=\theta ^{\prime }\delta _{oo^{\prime
}}=\left\{ y_{o},q_{o^{\prime }}\right\} .$ This odd basis $\left( o\right) $
of ghost modes, which was used in \cite{BKM1}, is naturally defined in the
process of mapping the Witten star to the Moyal star, including the
treatment of the midpoint. However, a more transparent basis that is more
parallel to the matter sector, which simplifies the overall formalism, is
obtained by rewriting the odd basis, through the following linear \textit{%
canonical} transformation, in terms of an even basis $%
x_{e}^{b},p_{e}^{b},x_{e}^{c},p_{e}^{c}$ ($e=2,4,\cdots ,2N$), where the
labels $b,c$ refer to the modes of the usual $b,c$ ghosts 
\begin{equation}
x_{e}^{b}:=\kappa _{e}^{-1}\sum_{o>0}S_{eo}x_{o}\,,\quad p_{e}^{b}:=\kappa
_{e}\sum_{o>0}S_{eo}p_{o}\,,\quad x_{e}^{c}:=\sum_{o>0}T_{eo}y_{o}\,,\quad
p_{e}^{c}:=\sum_{o>0}q_{o}R_{oe}\,.
\end{equation}
This even basis is different than the one defined in \cite{Erler}. The Moyal
product is rewritten as 
\begin{equation}
(A\star B)(x_{e}^{b},p_{e}^{b},x_{e}^{c},p_{e}^{c})=A\exp \left( {\frac{%
\theta ^{\prime }}{2}}\sum_{e>0}\left( {\frac{\overleftarrow{\partial }}{%
\partial x_{e}^{b}}}{\frac{\overrightarrow{\partial }}{\partial p_{e}^{b}}}+{%
\frac{\overleftarrow{\partial }}{\partial x_{e}^{c}}}{\frac{\overrightarrow{%
\partial }}{\partial p_{e}^{c}}}+{\frac{\overleftarrow{\partial }}{\partial
p_{e}^{b}}}{\frac{\overrightarrow{\partial }}{\partial x_{e}^{b}}}+{\frac{%
\overleftarrow{\partial }}{\partial p_{e}^{c}}}{\frac{\overrightarrow{%
\partial }}{\partial x_{e}^{c}}}\right) \right) B\,.  \label{e_M2}
\end{equation}
We note the canonical structure $\left\{ x_{e}^{b},p_{e^{\prime
}}^{b}\right\} _{\star }=\theta ^{\prime }\delta _{ee^{\prime }}=\left\{
x_{e}^{c},p_{e^{\prime }}^{c}\right\} _{\star }.$ The linear transformation
matrices, $T,R$ (and matrices $U$ and vectors $v,w$ which appear in the
following) were defined in \cite{BM2}, while the matrix $S$ appears for the
first time in this paper. Their properties are derived explicitly in
subsection \ref{sec:sine}. They play a central role in MSFT since they
define a Bogoliubov transformation from the oscillators in the operator
formalism to the Moyal coordinates, and thus carry essential information
about string theory. For instance, see Eqs.(\ref{e_bra},\ref{e_def_M_lambda}%
) in the next paragraph. For the moment, we just mention that they satisfy
the inverse properties $TR=RT=S\bar{S}=\bar{S}S=1$ which prove that the two
versions of the star product (\ref{e_M1}) and (\ref{e_M2}) are canonically
equivalent. Throughout this paper, the bar ($\bar{\,\,}$) means the
transpose of matrices or vectors. The relation of split strings to the Moyal
star is discussed in subsection \ref{sec:odd_Moyal}.

\item  In the operator formulation, the ghost sector of the string field $%
|\Psi \rangle $ is represented in the Fock space of the $bc$ ghost
oscillators. The transformation to the Moyal field $A\left( \xi \right) $ as
a function of noncommutative coordinates $\xi =\left( x,p\right) $ is
obtained through the Fourier transformation \cite{B1} of the coordinate
representation of $|\Psi \rangle $. The whole procedure is more neatly
expressed, as in the matter sector \cite{BM2}, by the inner product with a
particular bra state $\langle \xi _{0},\xi _{1},\xi _{2}|$ in the Fock
space, where $\bar{\xi}_{1}=\left( x_{o},p_{o}\right) ,\bar{\xi}_{2}=\left(
y_{o},q_{o}\right) $ are the noncommutative fermionic coordinates, and $\xi
_{0}$ is a fermionic variable related to the zero mode dependence of $|\Psi
\rangle $ 
\begin{eqnarray}
&&\langle \xi _{0},\xi _{1},\xi _{2}| =-2^{-2N}(1+\bar{w}w)^{-{\frac{1}{4}}%
}\langle \Omega |\hat{c}_{-1}e^{-\xi _{0}(\hat{c}_{0}-\sqrt{2}\bar{w}\hat{c}%
_{e})}e^{\hat{c}_{e}\hat{b}_{e}-\hat{c}_{o}\hat{b}_{o}-2i\bar{\xi}
_{1}M_{0}^{(o)}\xi_{2}-\bar{\xi}_{1}{\lambda}_{1}-\bar{\xi}_{2}{\lambda}_{2}}
,~~~~
\label{e_bra} \\
&&\hat{A}(\xi _{0},\xi _{1},\xi _{2}) =\langle \xi _{0},\xi _{1},\xi
_{2}|\Psi \rangle \,.
\end{eqnarray}
Here $\langle \Omega |$ is the SL$(2,R)$ invariant bra Fock vacuum, $\hat{b}%
_{n},\hat{c}_{n}$ are the conventional ghost oscillators, and the matrices $%
M_{0}^{\left( o\right) }$ and $\lambda $ are defined as 
\begin{equation}
M_{0}^{\left( o\right) }=\left( 
\begin{array}{cc}
{\frac{1}{2}}\mathbf{1}_{o} & 0 \\ 
0 & {\frac{2}{{\theta ^{\prime }}^{2}}}\left( \bar{S}\bar{R}\right)
_{oo^{\prime }}
\end{array}
\right) \,,~\lambda _{1}=\left( 
\begin{array}{c}
-i\sqrt{2}\hat{c}_{o} \\ 
\frac{2i}{\theta ^{\prime }}\bar{S}_{oe}\left( -\sqrt{2}\hat{b}_{e}+w_{e}\xi
_{0}\right) 
\end{array}
\right) \,,~\lambda _{2}=\left( 
\begin{array}{c}
-\sqrt{2}\hat{b}_{o} \\ 
-{\frac{2\sqrt{2}}{\theta ^{\prime }}}R_{oe}\hat{c}_{e}
\end{array}
\right)\,.   \label{e_def_M_lambda}
\end{equation}
The matrices $w_{e},S_{eo},R_{oe}$ are functions of the oscillator
frequencies $\kappa _{e},\kappa _{o}$ as given below. Through Eqs.(\ref{e_M1}%
,\ref{e_bra}) we map Witten's star ($\star ^{W}$) into the Moyal's star $%
\star $ as follows 
\begin{eqnarray}
\langle \xi _{0},\xi |\Psi _{1}\star ^{W}\Psi _{2}\rangle  &\sim &\langle
\xi _{0},\xi |\Psi _{1}\rangle \star \langle \xi _{0},\xi |\Psi _{2}\rangle
\,\,, \\
|\Psi _{1}\star ^{W}\Psi _{2}\rangle _{3} &=&{}_{1}\langle \Psi
_{1}|{}_{2}\langle \Psi _{2}|V_{3}\rangle _{123},\quad {}_{1}\langle \Psi
_{1}|={}_{14}\langle V_{2}|\Psi _{1}\rangle _{4},\,{}_{2}\langle \Psi
_{2}|={}_{25}\langle V_{2}|\Psi _{2}\rangle _{5}\,.  \label{eq:Witten's*}
\end{eqnarray}
We note that the product is local in $\xi _{0},~$while $\xi _{0}$ plays a
similar role to the midpoint coordinate $\bar{x}^{\mu }$ in the matter
sector. The Moyal star reproduces correctly the three string vertex 
$|V_{3}\rangle$ and the reflector $|V_{2}\rangle $ of the operator
formalism \cite{GJ}. The details are given in subsection
\ref{sec:Moyalbc}. The precise correspondence including the zero
mode is in section {\ref{sec:partII}}.


\item  Eq.(\ref{e_bra}) is enough to derive the connection between the
conventional operator formalism and the Moyal star formalism. For example,
the action of the standard oscillators on the Fock space field $|\Psi
\rangle $ can be rewritten in terms of their Moyal images acting on the
field $\hat{A}=\langle \xi _{0},\xi _{1},\xi _{2}|\Psi \rangle $ through the
star product, as follows 
\begin{eqnarray}
\hat{b}_{0}|\Psi \rangle  &\leftrightarrow &-\xi _{0}\hat{A}\,,  \notag \\
\hat{c}_{0}|\Psi \rangle  &\leftrightarrow &\left( -{\frac{\partial }{%
\partial \xi _{0}}}+{\frac{\theta ^{\prime }}{2}}\bar{v}{\frac{\partial }{%
\partial q_{o}}}\right) \hat{A}\,,  \notag \\
\hat{b}_{o}|\Psi \rangle  &\leftrightarrow &{\frac{1}{\sqrt{2}}}\left( \beta
_{o}^{b}\star \hat{A}-(-1)^{|A|}\hat{A}\star \beta _{-o}^{b}\right) \,, 
\notag \\
\hat{c}_{o}|\Psi \rangle  &\leftrightarrow &{\frac{1}{\sqrt{2}}}\left( \beta
_{o}^{c}\star \hat{A}+(-1)^{|A|}\hat{A}\star \beta _{-o}^{c}\right) \,, \\
\hat{b}_{e}|\Psi \rangle  &\leftrightarrow &{\frac{1}{\sqrt{2}}}\left( \beta
_{e}^{b}\star \hat{A}+(-1)^{|A|}\hat{A}\star \beta _{-e}^{b}\right)
+w_{e}^{\prime }\,\xi _{0}\hat{A}\,,  \notag \\
\hat{c}_{e}|\Psi \rangle  &\leftrightarrow &{\frac{1}{\sqrt{2}}}\left( \beta
_{e}^{c}\star \hat{A}-(-1)^{|A|}\hat{A}\star \beta _{-e}^{c}\right) \,, 
\notag
\end{eqnarray}
where $\beta _{o}^{b},\beta _{o}^{c}$ are fields in Moyal space which obey
oscillator relations under the $\star $ product 
\begin{equation}
\beta _{o}^{b}:={\frac{1}{2}}\left( {\frac{2}{{\theta ^{\prime }}}}%
q_{|o|}-i\epsilon (o)x_{|o|}\right) ,\;\beta _{o}^{c}:={\frac{1}{2}}\left(
y_{|o|}-i{\frac{2}{{\theta ^{\prime }}}}\epsilon (o)p_{|o|}\right)
\,,\;\{\beta _{o}^{b},\beta _{o^{\prime }}^{c}\}_{\star }=\delta
_{o+o^{\prime }}\,.~~~~  \label{oddmode_fields}
\end{equation}
On the other hand $\beta _{e}^{b},\beta _{e}^{c}$ are not independent from
the $\beta _{o}^{b},\beta _{o}^{c}.$ Rather, they are their Bogoliubov
transforms which obey the following relations 
\begin{equation}
\beta _{e}^{b}=\sum_{o}\beta _{o}^{b}\,U_{-o,e}^{-1}\,,\;\beta
_{e}^{c}=\sum_{o}U_{e,-o}\beta _{o}^{c}\,,\;\{\beta _{e}^{b},\beta
_{e^{\prime }}^{c}\}_{\star }=\delta _{e+e^{\prime }}\,,  \label{even_fields}
\end{equation}
and $\left\{ \beta _{-o}^{b},\beta _{e}^{c}\right\}_{\star} =U_{e,-o}$ 
where the
matrix $U_{e,-o}$ will be given below. With these formulas, one can directly
translate operators in Fock space into their images which act in Moyal
space. The proof of these formulas and some variants are discussed in
subsection \ref{oscillators}. In this way we derive the explicit form of the
Virasoro operator $L_{0}$ which acts in Moyal space 
\begin{eqnarray}
L_{0} &=&\sum_{k=1}^{2N}\kappa _{k}(\hat{\beta}_{-k}^{b}\hat{\beta}_{k}^{c}+%
\hat{\beta}_{-k}^{c}\hat{\beta}_{k}^{b}) \\
&=&\sum_{k=1}^{2N}\kappa _{k}+i\sum_{o>0}\kappa _{o}\left( x_{o}y_{o}+{\frac{%
\partial }{\partial x_{o}}}{\frac{\partial }{\partial y_{o}}}\right)
+i\sum_{o>0}\kappa _{o}\left( {\frac{4}{{\theta ^{\prime }}^{2}}}p_{o}q_{o}+{%
\frac{{\theta ^{\prime }}^{2}}{4}}{\frac{\partial }{\partial p_{o}}}{\frac{%
\partial }{\partial q_{o}}}\right)   \notag \\
&&+{\frac{4i}{{\theta ^{\prime }}^{2}}}(1+\bar{w}w)\left( \sum_{o>0}\kappa
_{o}v_{o}p_{o}\right) \left( \sum_{o^{\prime }>0}v_{o^{\prime }}q_{o^{\prime
}}\right) +{\frac{2i}{{\theta ^{\prime }}}}(1+\bar{w}w)\left(
\sum_{o>0}v_{o}\kappa _{o}p_{o}\right) \xi _{0}\, . \notag
\end{eqnarray}
This was used in \cite{BKM1,BKM2}. Here $\hat{\beta}_{k}^{b},\hat{\beta}%
_{k}^{c}$ are not the Moyal fields $\beta _{o}^{b},\beta _{o}^{c}$ or $\beta
_{e}^{b},\beta _{e}^{c}$ given in Eqs.(\ref{oddmode_fields},\ref{even_fields}%
); rather, they are differential operators that obey the standard oscillator
relations, and which are derived from the star products of the fields $\beta
_{o}^{b},\beta _{o}^{c}$ or $\beta _{e}^{b},\beta _{e}^{c}$ as will be shown
below.
\end{itemize}

\subsection{Half string formalism and regularization \label{sec:sine}}

We start from full string functions $\psi (\sigma ),$ $0\leq \sigma \leq \pi 
$ with Dirichlet boundary conditions at $\sigma =0,\pi ,$ and discuss their
split string formulation in the interval $0\leq \sigma \leq \pi /2$. Such
functions have a Fourier expansion with only \textit{sine} modes in the full
string formalism. By contrast, the corresponding problem in the matter
sector involved only \textit{cosine} modes because of Neumann boundary
conditions at $\sigma =0,\pi $. We collect the basic formulae in the
appendix \ref{sec:cosine}. The essential step was the construction of the
regularization \cite{BM1,BM2} which is needed to avoid the associativity
anomaly. We give a regularization of the ghost sector for the sine mode
expansion which is compatible with the previous results.

A full string function $\psi (\sigma )$ which satisfies Dirichlet boundary
conditions % :\footnote{
% One may consider more general Dirichlet boundary condition at
%  $\sigma=0,\pi$,  but the simplest one Eq.(\ref{full_BC}) is enough to
%  formulate $bc$-ghost system.
% We use formulas in this subsection only for $b(\sigma)$ while they can
% be applicable to both Grassmann even and odd functions.
% }
% \begin{equation}
%  \psi(0)=\psi(\pi)=0\label{full_BC}
% \end{equation}
$\psi (0)=\psi (\pi )=0$ is expanded as 
\begin{equation}
\psi (\sigma )=\sqrt{2}\sum_{n=1}^{\infty }\psi _{n}\sin n\sigma \,,\;\psi
_{n}={\frac{\sqrt{2}}{\pi }}\int_{0}^{\pi }d\sigma \psi (\sigma )\sin
n\sigma \,.  \label{eq_psi_exp}
\end{equation}
We decompose such a field $\psi (\sigma )$ into left half $l(\sigma )$ and
right half $r(\sigma )$ as follows 
\begin{equation}
\psi (\sigma )=\left\{ 
\begin{array}{lc}
l(\sigma ) & \quad 0\leq \sigma \leq {\frac{\pi }{2}} \\ 
r(\pi -\sigma ) & \quad {\frac{\pi }{2}}\leq \sigma \leq \pi
\end{array}
\right. \,,\;\psi _{n}={\frac{\sqrt{2}}{\pi }}\int_{0}^{\frac{\pi }{2}%
}d\sigma (l(\sigma )-(-1)^{n}r(\sigma ))\sin n\sigma \,.  \label{eq:psilrExp}
\end{equation}
As we have seen in \cite{B1,BM1}, we have some arbitrariness in the choice
of the boundary condition for the split string functions $l(\sigma
),r(\sigma )$ at the midpoint $\sigma =\pi /2$. They can be expanded using
either odd or even modes according to the two possible choices of the
boundary condition at the midpoint $\sigma ={\frac{\pi }{2}}$ as discussed
below.

\subsubsection{Dirichlet at end point, Neumann at midpoint (DN) \label%
{sec:sinDN}}

First we consider % Dirichlet boundary condition at $\sigma=0$\footnote{
% This is consistent with the boundary condition of the full-string
% $\psi(\sigma)$.} and
Neumann boundary conditions at the midpoint $\sigma =\pi /2,$ while we have
Dirichlet boundary conditions at the end point for the split string
functions $l(\sigma ),r(\sigma )$: 
\begin{equation}
l(0)=r(0)=0\,,\qquad l^{\prime }(\pi /2)=r^{\prime }(\pi /2)=0\,.
\end{equation}
We can expand them using odd sine modes $o=1,3,5,\cdots $ 
\begin{eqnarray}
&&l(\sigma )=\sqrt{2}\sum_{o=1}^{\infty }l_{o}\sin o\sigma \,,\qquad l_{o}={%
\frac{2\sqrt{2}}{\pi }}\int_{0}^{\frac{\pi }{2}}d\sigma \,l(\sigma )\sin
o\sigma \,,  \label{eq:lexpDN} \\
&&r(\sigma )=\sqrt{2}\sum_{o=1}^{\infty }r_{o}\sin o\sigma \,,\qquad r_{o}={%
\frac{2\sqrt{2}}{\pi }}\int_{0}^{\frac{\pi }{2}}d\sigma \,r(\sigma )\sin
o\sigma \,.  \label{eq:rexpDN}
\end{eqnarray}
By comparing the mode expansions
Eqs.(\ref{eq_psi_exp},\ref{eq:lexpDN},\ref{eq:rexpDN}) with
(\ref{eq:psilrExp}), we obtain the correspondence between
the full and split string variables, 
\begin{equation}
l_{o}=\psi _{o}+\bar{S}_{oe}\psi _{e}\,,~~~r_{o}=\psi _{o}-\bar{S}_{oe}\psi
_{e}\,,  \label{eq:sinDN_psi2lr}
\end{equation}
or the inverse 
\begin{equation}
\psi _{e}={\frac{1}{2}}S_{eo}(l_{o}-r_{o})\,,~~~\psi _{o}={\frac{1}{2}}%
(l_{o}+r_{o}),  \label{eq:sinDN_lr2psi}
\end{equation}
where $e=2,4,6,\cdots ,$ and the matrix $S_{eo}$ is given by 
\begin{equation}
S_{eo}={\frac{4}{\pi }}\int_{0}^{\frac{\pi }{2}}d\sigma \sin e\sigma \sin
o\sigma ={\frac{4i^{o-e+1}e}{\pi (e^{2}-o^{2})}}\,.  \label{S}
\end{equation}
The above mappings are consistent because $S_{eo}$ is an orthogonal matrix: 
\begin{equation}
\bar{S}S=S\bar{S}=1\,.  \label{eq:tilRconsistency}
\end{equation}
The continuity condition at the midpoint $\psi (\pi /2)=l(\pi /2)=r(\pi /2)$
is 
\begin{equation}
\sum_{o=1}^{\infty }{\tilde{w}}_{o}\psi _{o}=\sum_{o=1}^{\infty }{\tilde{w}}%
_{o}l_{o}=\sum_{n=1}^{\infty }{\tilde{w}}_{o}r_{o}  \label{CONTI}
\end{equation}
where we defined the odd vector $\tilde{w}$ associated with the midpoint 
\begin{equation}
\tilde{w}_{o}=\sqrt{2}\sin {\frac{o\pi }{2}}=\sqrt{2}\,i^{o-1}\,.
\label{eq:tilwinfty}
\end{equation}
Eq.(\ref{CONTI}) holds thanks to the identity $(S{\tilde{w}}
)_{e}=\sum_{o=1}^{\infty }S_{eo}{\tilde{w}}_{o}=0.$ This equation implies
that $S$ has a singular eigenvector even though it has an inverse, which is
just its transpose $\bar{S},$ as stated in (\ref{eq:tilRconsistency}). This
esoteric relation is possible because $S$ is an infinite matrix. However it
causes an associativity anomaly with respect to matrix products, which in
turn feeds into associativity anomaly of string field star products, as
discussed in \cite{BM1}.

An example of the associativity anomaly is $\bar{S}(S\tilde{w})=0,$
but $(\bar{S}S)\tilde{w}=\tilde{w}.$ 
