,split
10,"\begin{split}
-&\fr\tr\bar{X}\k X=\sum_{p=1}^{k}\left(R_{(p)}^2-W^\prime_{(p)}R_{(p)}-\frac{1}{4}f_{(p)}- R_{(p-1)}R_{(p)}\right)\\
-&\fr\tr X\pk1 \bar{X}=\sum_{p=1}^{k}\left(R_{(p)}^2-W^\prime_{(p)}R_{(p)}-\frac{1}{4}f_{(p)}- R_{(p)}R_{(p+1)}\right)
\"
11,"\begin{split}
{\scriptstyle{(\ref{a}),\: k=1}} \quad\rightarrow\quad & (W^\prime_{(1)}-R_{(1)})(R_{(1)}^2-W^\prime_{(1)}R_{(1)}-\frac{1}{4}f_{(1)})+\frac{1}{4}f_{(1)}^{1,1}=\\&=\fr\tr X\bar{X}\p1 X\bar{X}\label{wa}
\"
12,"\begin{split}
{\scriptstyle{k=2,\ldots n-1 }}\quad\rightarrow\quad & (W^\prime_{(k)}-R_{(k)})\sum_{p=1}^k(R_{(p)}^2-W^\prime_{(p)}R_{(p)}-\frac{1}{4}f_{(p)}-R_{(p-1)}R_{(p)})+\frac{1}{4}f_{(k)}^{1,1}=\\&=\fr\tr \left(X\bar{X}\k X\bar{X} - \bar{X}X\k X\bar{X}\right)\label{wb}
\"
13,"\begin{split}
{\scriptstyle{(\ref{b}),\: k=n }}\quad\rightarrow\quad & (W^\prime_{(n)}-R_{(n)})\sum_{p=1}^{n-1}(R_{(p)}^2-W^\prime_{(p)}R_{(p)}-\frac{1}{4}f_{(p)}-R_{(p)}R_{(p+1)})+\frac{1}{4}f_{(n)}^{1,2}=\\&=-\fr\tr \bar{X}X\pn \bar{X}X\label{wc}
\"
14,"\begin{split}
{\scriptstyle{k=2,\ldots n-1}}\quad \rightarrow\quad & (W^\prime_{(k)}-R_{(k)})\sum_{p=1}^{k-1}(R_{(p)}^2-W^\prime_{(p)}R_{(p)}-\frac{1}{4}f_{(p)}-R_{(p)}R_{(p+1)})+\frac{1}{4}f_{(k)}^{1,2}=\\&=\fr\tr \left(X\bar{X}\k \bar{X}X -\bar{X}X\k \bar{X}X\right)\label{wd}
\"
15,"\begin{split}
{\scriptstyle{(\ref{c})}}\quad \rightarrow\quad & R_{(k+1)}\sum_{p=1}^k(R_{(p)}^2-W^\prime_{(p)}R_{(p)}-\frac{1}{4}f_{(p)}-R_{(p-1)}R_{(p)})+\\&+R_{(k)}\sum_{p=1}^k(R_{(p)}^2-W^\prime_{(p)}R_{(p)}-\frac{1}{4}f_{(p)}-R_{(p)}R_{(p+1)})=\\
&=\fr\tr\left(\bar{X}X\pk1 \bar{X}X -X\bar{X}\k X\bar{X}\right)\label{we}
\"
16,"\begin{split}
{\scriptstyle{(\ref{d})}}\quad \rightarrow\quad & R_{(k+1)}\sum_{p=1}^{k-1}(R_{(p)}^2-W^\prime_{(p)}R_{(p)}-\frac{1}{4}f_{(p)}-R_{(p)}R_{(p+1)})=\\
&=\fr\tr\left(XX\pk1 \bar{X}\bar{X} -X\bar{X}\k \bar{X}X\right)\label{wf}
\"
17,"\begin{split}
{\scriptstyle{(\ref{e})}}\quad \rightarrow\quad & R_{(k)}\sum_{p=1}^{k}(R_{(p)}^2-W^\prime_{(p)}R_{(p)}-\frac{1}{4}f_{(p)}-R_{(p-1)}R_{(p)})=\\
&=\fr\tr\left(X\bar{X}\pk1 \bar{X}X-\bar{X}\bar{X}\k XX \right)\label{wg}
\"
18,"\begin{split}
{\scriptstyle{(\ref{f})}}\quad \rightarrow\quad & R_{(k+1)}\sum_{p=1}^k(R_{(p)}^2-W^\prime_{(p)}R_{(p)}-\frac{1}{4}f_{(p)}-R_{(p-1)}R_{(p)})+\\&+R_{(k)}\sum_{p=1}^k(R_{(p)}^2-W^\prime_{(p)}R_{(p)}-\frac{1}{4}f_{(p)}-R_{(p)}R_{(p+1)})=\\
&=\fr\tr\left(\bar{X}X\pk1 \bar{X}X -X\bar{X}\k X\bar{X}\right)\label{wh}
\"
19,"\begin{split}
{\scriptstyle{(\ref{g})}}\quad \rightarrow\quad & R_{(k+1)}\sum_{p=1}^{k-1}(R_{(p)}^2-W^\prime_{(p)}R_{(p)}-\frac{1}{4}f_{(p)}-R_{(p)}R_{(p+1)})=\\
&=\fr\tr\left(XX\pk1 \bar{X}\bar{X} -\bar{X}X\k X\bar{X}\right)\label{wi}
\"
20,"\begin{split}
{\scriptstyle{(\ref{h})}}\quad \rightarrow\quad & R_{(k)}\sum_{p=1}^{k}(R_{(p)}^2-W^\prime_{(p)}R_{(p)}-\frac{1}{4}f_{(p)}-R_{(p-1)}R_{(p)})=\\
&=\fr\tr\left(\bar{X}X\pk1 X\bar{X}-\bar{X}\bar{X}\k XX \right)\label{wj}
\"
21,"\begin{split}
&f_{(k)}^{1,1}\equiv -\frac{1}{8\pi^2} \left(\frac{W_{(k)}^\prime(\Phi_{(k)})-W_{(k)}^\prime(z)}{z-\Phi_{(k)}}{\cal W}_\alpha^{(k)}{\cal W}^{(k)\alpha}X\bar{X}\right)\\
&f_{(k)}^{1,2}\equiv -\frac{1}{8\pi^2} \left(\frac{W_{(k)}^\prime(\Phi_{(k)})-W_{(k)}^\prime(z)}{z-\Phi_{(k)}}{\cal W}_\alpha^{(k)}{\cal W}^{(k)\alpha}\bar{X}X\right)
\"
22,"\begin{split}
&\sum_{k=1}^{n-1}(R_{(k)} R_{(k+1)}^2-R_{(k)}^2 R_{(k+1)} )
+\sum_{k=2}^{n-1}W^\prime_{(k)}\left\{ \sum_{p=1}^{k}(R_{(p)}^2-W^\prime_{(p)}R_{(p)}-\frac{1}{4}f_{(p)})+\right.\\&\quad \left.-\sum_{p=k}^{n}(R_{(p)}^2-W^\prime_{(p)}R_{(p)}-\frac{1}{4}f_{(p)})-\sum_{p=2}^{k}R_{(p-1)}R_{(p)}+\sum_{p=k+1}^{n}R_{(p-1)}R_{(p)}\right\}+\\&\quad+W^\prime_{(1)}(R_{(1)}^2-W^\prime_{(1)}R_{(1)}-\frac{1}{4}f_{(1)})
-W^\prime_{(n)}(R_{(n)}^2-W^\prime_{(n)}R_{(n)}-\frac{1}{4}f_{(n)})+\\&\quad
+\frac{1}{4}\left(f_{(1)}^{1,1}+f_{(n)}^{1,2}+\sum_{k=2}^{n-1}(f_{(k)}^{1,1}+f_{(k)}^{1,2})\right)=0
\"
23,"\begin{split}
&\fr\tr X\bar{X}\k X\bar{X}=\\&\qquad =\sum_{p=1}^{k-1}(\delta\Phi_{(p)}^a+\delta X_{p,p+1}^c+\delta\Phi_{(p+1)}^b)+\sum_{p=2}^{k}(\delta X_{p,p+1}^d-\delta\bar{X}_{p+1,p}^g)+\delta\Phi_{(k)}^a=
\"
24,"\begin{split}
&\qquad =\sum_{p=1}^k (R_{(p)}^2 R_{p-1}-R_{p}^2 R_{(p+1)})-R_{(k)}\sum_{p=1}^k (R_{(p)}^2-W^\prime_{(p)}R_{(p)}-\frac{1}{4}f_{(p)}-R_{(p)}R_{(p+1)})+\\&\qquad +\sum_{p=1}^k W^\prime_{(p)}\left( \sum_{q=1}^p (R_{(q)}^2-W^\prime_{(q)}R_{(q)}-\frac{1}{4}f_{(q)}-R_{(q-1)}R_{(q)}+\right.\\&\qquad \left.-\sum_{q=p}^n (R_{(q)}^2-W^\prime_{(q)}R_{(q)}-\frac{1}{4}f_{(q)}-R_{(q)}R_{(q+1)}\right)+\frac{1}{4}\sum_{p=1}^k f_{(p)}^{1,1}+\frac{1}{4}\sum_{p=2}^k f_{(p)}^{1,2}
\"
25,"\begin{split}
&\fr\tr \bar{X}X\pk1 \bar{X}X=\\&\qquad =\sum_{p=1}^{k-1}(\delta\Phi_{(p)}^a+\delta X_{p,p+1}^c+\delta\Phi_{(p+1)}^b)+\sum_{p=2}^{k}(\delta X_{p,p+1}^d-\delta\bar{X}_{p+1,p}^g)+\delta\Phi_{(k)}^a+\delta X_{k,k+1}^d=\\
&\qquad=\fr\tr X\bar{X}\k X\bar{X}+R_{(k+1)}\sum_{p=1}^{k}(R_{(p)}^2-W^\prime_{(p)}R_{(p)}-\frac{1}{4}f_{(p)}-R_{(p-1)}R_{(p)})+\\&\qquad +R_{(k)}\sum_{p=1}^{k}(R_{(p)}^2-W^\prime_{(p)}R_{(p)}-\frac{1}{4}f_{(p)}-R_{(p)}R_{(p+1)})
\"
26,"\begin{split}
&\fr\tr X\bar{X}\pk1 \bar{X}X=\\&\qquad =\sum_{p=1}^{k}(\delta\Phi_{(p)}^a+\delta X_{p,p+1}^c+\delta\Phi_{(p+1)}^b)+\sum_{p=2}^{k}(\delta X_{p,p+1}^d-\delta\bar{X}_{p+1,p}^g)=\\&\qquad = \fr\tr \bar{X}X\k \bar{X}X+(W^\prime_{(k+1)}-R^\prime_{(k+1)})\sum_{p=1}^{k}(R_{(p)}^2-W^\prime_{(p)}R_{(p)}-\frac{1}{4}f_{(p)}+\\&\qquad -R_{(p)}R_{(p+1)})+\frac{1}{4}f_{(k+1)}^{1,2}
\"
27,"\begin{split}
&\fr\tr XX\frac{{\cal W}_\alpha^{(k+2)}{\cal W}^{(k+2)\alpha}}{z-\Phi_{(k+2)}} \bar{X}\bar{X}=\\&\qquad =\sum_{p=1}^{k}(\delta\Phi_{(p)}^a+\delta X_{p,p+1}^c+\delta\Phi_{(p+1)}^b)+\sum_{p=2}^{k}(\delta X_{p,p+1}^d-\delta\bar{X}_{p+1,p}^g)+\delta X_{k+1,k+2}^d=\\&\qquad =\fr\tr X\bar{X}\pk1 \bar{X}X\!+\!R_{(k+2)}\sum_{p=1}^{k}(R_{(p)}^2\!-\!W^\prime_{(p)}R_{(p)}-\frac{1}{4}f_{(p)}-\!R_{(p)}R_{(p+1)})
\"
28,"\begin{split}
&\fr\tr \bar{X}X\pk1 X\bar{X}=\\&\qquad =\sum_{p=1}^{k}(\delta\Phi_{(p)}^a+\delta X_{p,p+1}^c+\delta\Phi_{(p+1)}^b)+\sum_{p=2}^{k+1}(\delta X_{p,p+1}^d-\delta\bar{X}_{p+1,p}^g)=\\&\qquad =\fr\tr XX\frac{{\cal W}_\alpha^{(k+2)}{\cal W}^{(k+2)\alpha}}{z-\Phi_{(k+2)}} \bar{X}\bar{X}\!-\!R_{(k+2)}\sum_{p=1}^{k}(R_{(p)}^2\!-\!W^\prime_{(p)}R_{(p)}-\frac{1}{4}f_{(p)}-\!R_{(p)}R_{(p+1)})\\&\qquad =\fr\tr X\bar{X}\pk1 \bar{X}X
\"
29,"\begin{split}
&\delta X_{k,k+1}=\k X(\bar{X}X)^p\pk1 \\
&\delta \bar{X}_{k+1,k}=\pk1 \bar{X}(X\bar{X})^p\k 
\"
30,"\begin{split}
-&\tr\pk1(\bar{X}X)^{p+1}+\tr \k(X\bar{X})^{p+1}=\\&=-\fr\sum_{m=0}^{p}\tr\k(X\bar{X})^m\cdot \tr\pk1(\bar{X}X)^{p-m}
\"
31,"\begin{split}
&\delta X_{k,k+1}=\k X_{k,k+1}X\bar{X}\bar{X}\hat{X}_{k,k+1}X\bar{X}\frac{1}{z-\Phi_{(k+1)}}\\
&\delta\bar{X}_{k+1,k}=\pk1 X\bar{X}\hat{\bar{X}}_{k+1,k}XX\bar{X}\bar{X}_{k+1,k}\frac{1}{z-\Phi_{(k)}}
\"
32,"\begin{split}
&g_{(1,i)}(z)\equiv \fr\tr\left(\frac{W^\prime_{(1)}(\Phi_{(1)})-W^\prime_{(1)}(z)}{z-\Phi_{(1)}} {\cal W}^{(1)}_\alpha {\cal W}^{(1)\alpha}X_i\bar{X}_i \right)\\
&g_{(2,i)}(z)\equiv \fr\tr\left(\frac{W^\prime_{(2)}(\Phi_{(2)})-W^\prime_{(2)}(z)}{z-\Phi_{(2)}} {\cal W}^{(2)}_\alpha {\cal W}^{(2)\alpha}\bar{X}_i X_i \right)
\"
33,"\begin{split}
(W^\prime_{(k)}-R_{(k)})\tr\bar{X}&\k X+\frac{1}{4}g_{(1,k)}=\\&=-\tr X\bar{X}\k X\bar{X} +\tr \bar{X}X\k X\bar{X}
\"
34,"\begin{split}
(W^\prime_{(k)}-R_{(k)})\tr X &\k \bar{X}+\frac{1}{4}g_{(2,k)}=\\&=-\tr X\bar{X}\k \bar{X}X +\tr \bar{X}X\k \bar{X}X
\"
35,"\begin{split}
R_{(k+1)}\tr\bar{X}\k & X +R_{(k)}\tr X\pk1 \bar{X}=
\\&=\tr X\bar{X}\k X\bar{X} -\tr\bar{X}X\pk1 \bar{X}X
\"
36,"\begin{split}
&\frac{1}{4}g_{(1,k)}(z)=\tr\left(\frac{W^\prime_{(k)}(\Phi_{(k)})-W^\prime_{(k)}(z)}{z-\Phi_{(k)}} {\cal W}_{\alpha}^{(k)}{\cal W}^{(k)\alpha}X\bar{X}\right)\\
&\frac{1}{4}g_{(2,k)}(z)=\tr\left(\frac{W^\prime_{(k)}(\Phi_{(k)})-W^\prime_{(k)}(z)}{z-\Phi_{(k)}} {\cal W}_{\alpha}^{(k)}{\cal W}^{(k)\alpha}\bar{X}X\right)
\"
37,"\begin{split}
\sum_{p=1}^n &W^\prime_{(p+1)}(z)\left(\sum_{q=1}^p(R_{(q)}^2(z)-W^\prime_{(q)}(z)R_{(q)}(z)-\frac{1}{4}f_{(q)}(z)-R_{(q)}(z)R_{(q+1)}(z))+\right.\\&\left. - \sum_{q=p+1}^n(R_{(q)}^2(z)-W^\prime_{(q)}(z)R_{(q)}(z)-\frac{1}{4}f_{(q)}(z)-R_{(q)}(z)R_{(q+1)}(z))\right)+\\&+\sum_{p=1}^n W^\prime_{(p)}(z)(R_{(p)}^2(z)-W^\prime_{(p)}(z)R_{(p)}(z)-\frac{1}{4}f_{(p)}(z))-\sum_{p=1}^n R_{(p)}^2(z) R_{(p+1)}(z)+\\&+\sum_{p=1}^n R_{(p-1)}(z) R_{(p)}^2(z)+\sum_{p+1}^n\left(\frac{1}{4}g_{(1,p)}(z)+\frac{1}{4}g_{(2,p)}(z)\right)=0
\"
